timestamp,eda_level_real
2024-07-13T09:22:00.000+07:00,7.72
2024-07-13T09:23:00.000+07:00,7.6
2024-07-13T09:24:00.000+07:00,7.48
2024-07-13T09:25:00.000+07:00,7.46
2024-07-13T09:26:00.000+07:00,7.46
2024-07-13T09:27:00.000+07:00,7.52
2024-07-13T09:28:00.000+07:00,7.66
2024-07-13T09:29:00.000+07:00,7.79
2024-07-13T09:30:00.000+07:00,7.82
2024-07-13T09:31:00.000+07:00,7.82
2024-07-13T09:32:00.000+07:00,7.76
2024-07-13T09:33:00.000+07:00,7.64
2024-07-13T09:34:00.000+07:00,7.5
2024-07-13T09:35:00.000+07:00,7.37
2024-07-13T09:36:00.000+07:00,7.26
2024-07-13T09:37:00.000+07:00,7.17
2024-07-13T09:38:00.000+07:00,7.18
2024-07-13T09:39:00.000+07:00,7.34
2024-07-13T09:40:00.000+07:00,7.95
2024-07-13T09:41:00.000+07:00,9.06
2024-07-13T09:42:00.000+07:00,10.12
2024-07-13T09:43:00.000+07:00,10.89
2024-07-13T09:44:00.000+07:00,11.23
2024-07-13T09:45:00.000+07:00,11.26
2024-07-13T09:46:00.000+07:00,11.16
2024-07-13T09:47:00.000+07:00,10.95
2024-07-13T09:48:00.000+07:00,10.71
2024-07-13T09:49:00.000+07:00,10.44
2024-07-13T09:50:00.000+07:00,10.16
2024-07-13T09:51:00.000+07:00,9.94
2024-07-13T09:52:00.000+07:00,9.78
2024-07-13T09:53:00.000+07:00,9.65
2024-07-13T09:54:00.000+07:00,9.53
2024-07-13T09:55:00.000+07:00,9.44
2024-07-13T09:56:00.000+07:00,9.34
2024-07-13T09:57:00.000+07:00,9.23
2024-07-13T09:58:00.000+07:00,9.13
2024-07-13T09:59:00.000+07:00,9.05
2024-07-13T10:00:00.000+07:00,8.98
2024-07-13T10:01:00.000+07:00,8.93
2024-07-13T10:02:00.000+07:00,8.89
2024-07-13T10:03:00.000+07:00,8.86
2024-07-13T10:04:00.000+07:00,8.84
2024-07-13T10:05:00.000+07:00,8.83
2024-07-13T10:06:00.000+07:00,8.82
2024-07-13T10:07:00.000+07:00,8.79
2024-07-13T10:08:00.000+07:00,8.72
2024-07-13T10:09:00.000+07:00,8.55
2024-07-13T10:10:00.000+07:00,8.33
2024-07-13T10:11:00.000+07:00,8.14
2024-07-13T10:12:00.000+07:00,7.98
2024-07-13T10:13:00.000+07:00,7.74
2024-07-13T10:14:00.000+07:00,7.19
2024-07-13T10:15:00.000+07:00,6.54
2024-07-13T10:16:00.000+07:00,6.19
2024-07-13T10:17:00.000+07:00,6.07
2024-07-13T10:18:00.000+07:00,6.19
2024-07-13T10:19:00.000+07:00,6.45
2024-07-13T10:20:00.000+07:00,6.67
