timestamp,heart rate zone,total minutes
2023-06-22T08:11:00Z,cardio,2
2023-06-22T08:12:00Z,fat burn,1
2023-06-22T08:13:00Z,fat burn,1
2023-06-22T08:14:00Z,fat burn,1
2023-06-22T08:15:00Z,cardio,2
2023-06-22T08:16:00Z,cardio,2
2023-06-22T08:17:00Z,cardio,2
2023-06-22T08:18:00Z,cardio,2
2023-06-22T08:19:00Z,cardio,2
2023-06-22T08:20:00Z,cardio,2
2023-06-22T08:21:00Z,cardio,2
2023-06-22T08:22:00Z,fat burn,1
2023-06-22T08:23:00Z,fat burn,1
2023-06-22T08:24:00Z,fat burn,1
2023-06-22T08:25:00Z,fat burn,1
2023-06-23T07:04:00Z,fat burn,1
2023-06-23T07:05:00Z,fat burn,1
2023-06-23T07:06:00Z,cardio,2
2023-06-23T07:07:00Z,cardio,2
2023-06-23T07:08:00Z,cardio,2
2023-06-23T07:09:00Z,fat burn,1
2023-06-23T07:10:00Z,fat burn,1
2023-06-23T07:11:00Z,fat burn,1
2023-06-23T07:12:00Z,fat burn,1
2023-06-23T07:13:00Z,fat burn,1
2023-06-23T07:14:00Z,cardio,2
2023-06-23T07:15:00Z,cardio,2
2023-06-23T07:16:00Z,fat burn,1
2023-06-23T07:28:00Z,fat burn,1
2023-06-23T07:29:00Z,fat burn,1
2023-06-23T07:30:00Z,fat burn,1
2023-06-23T07:31:00Z,fat burn,1
2023-06-23T07:32:00Z,fat burn,1
2023-06-23T07:33:00Z,fat burn,1
2023-06-23T07:34:00Z,fat burn,1
2023-06-23T07:35:00Z,fat burn,1
2023-06-23T07:36:00Z,fat burn,1
2023-06-23T07:38:00Z,fat burn,1
2023-06-23T07:39:00Z,fat burn,1
2023-06-23T07:41:00Z,fat burn,1
2023-06-23T07:42:00Z,fat burn,1
2023-06-23T07:43:00Z,fat burn,1
2023-06-23T07:44:00Z,fat burn,1
2023-06-23T07:45:00Z,fat burn,1
2023-06-23T07:59:00Z,fat burn,1
2023-06-23T08:01:00Z,fat burn,1
2023-06-23T08:02:00Z,fat burn,1
2023-06-23T08:03:00Z,fat burn,1
2023-06-23T08:04:00Z,fat burn,1
2023-06-23T08:06:00Z,fat burn,1
2023-06-23T08:07:00Z,fat burn,1
2023-06-26T07:09:00Z,cardio,2
2023-06-26T07:10:00Z,cardio,2
2023-06-26T07:11:00Z,cardio,2
2023-06-26T07:12:00Z,cardio,2
2023-06-26T07:13:00Z,fat burn,1
2023-06-26T07:14:00Z,fat burn,1
2023-06-26T07:15:00Z,fat burn,1
2023-06-26T07:16:00Z,fat burn,1
2023-06-26T07:17:00Z,fat burn,1
2023-06-26T07:18:00Z,fat burn,1
2023-06-26T07:21:00Z,fat burn,1
2023-06-26T07:22:00Z,fat burn,1
2023-06-26T07:23:00Z,cardio,2
2023-06-26T07:24:00Z,fat burn,1
2023-06-26T07:25:00Z,fat burn,1
2023-06-26T07:26:00Z,cardio,2
2023-06-26T07:27:00Z,fat burn,1
2023-06-26T07:28:00Z,fat burn,1
2023-06-26T07:29:00Z,fat burn,1
2023-06-26T07:30:00Z,fat burn,1
2023-06-26T07:31:00Z,fat burn,1
2023-06-26T07:32:00Z,fat burn,1
2023-06-26T07:33:00Z,fat burn,1
2023-06-26T07:34:00Z,fat burn,1
2023-06-26T07:35:00Z,fat burn,1
2023-06-26T07:36:00Z,fat burn,1
2023-06-26T07:37:00Z,fat burn,1
2023-06-26T07:38:00Z,fat burn,1
2023-06-26T07:39:00Z,fat burn,1
2023-06-26T07:40:00Z,fat burn,1
2023-06-26T07:41:00Z,fat burn,1
2023-06-26T07:42:00Z,fat burn,1
2023-06-26T07:43:00Z,fat burn,1
2023-06-26T07:44:00Z,fat burn,1
2023-06-26T07:45:00Z,fat burn,1
2023-06-26T07:46:00Z,fat burn,1
2023-06-26T07:47:00Z,cardio,2
2023-06-26T07:48:00Z,fat burn,1
