timestamp,workout,background,total
2025-06-11T04:47:00Z,0.0,0.24,0.24
2025-06-11T04:48:00Z,0.0,0.25,0.25
2025-06-11T04:52:00Z,0.0,0.36,0.36
2025-06-11T04:53:00Z,0.0,0.27,0.27
2025-06-11T04:55:00Z,0.0,0.29,0.29
2025-06-11T04:57:00Z,0.0,0.26,0.26
2025-06-11T05:15:00Z,0.0,0.28,0.28
2025-06-11T05:24:00Z,0.0,0.24,0.24
2025-06-11T05:25:00Z,0.0,0.24,0.24
2025-06-11T05:35:00Z,0.0,0.28,0.28
2025-06-11T05:45:00Z,0.0,0.68,0.68
2025-06-11T06:11:00Z,0.0,0.32,0.32
2025-06-11T06:12:00Z,0.0,0.24,0.24
2025-06-11T09:33:00Z,0.0,0.34,0.34
2025-06-11T09:34:00Z,0.0,0.33,0.33
2025-06-11T09:38:00Z,0.0,0.28,0.28
2025-06-11T09:41:00Z,0.0,0.24,0.24
2025-06-11T09:44:00Z,0.0,0.23,0.23
2025-06-11T10:32:00Z,0.0,0.29,0.29
2025-06-11T12:35:00Z,0.0,0.23,0.23
2025-06-11T23:29:00Z,0.0,0.35,0.35
2025-06-11T23:30:00Z,0.0,0.61,0.61
2025-06-11T23:31:00Z,0.0,0.31,0.31
2025-06-11T23:32:00Z,0.0,0.25,0.25
2025-06-11T23:43:00Z,0.0,0.33,0.33
2025-06-11T23:44:00Z,0.0,0.26,0.26
2025-06-11T23:45:00Z,0.0,0.98,0.98
2025-06-11T23:46:00Z,0.0,0.27,0.27
2025-06-11T23:47:00Z,0.0,0.65,0.65
2025-06-11T23:48:00Z,0.0,0.62,0.62
2025-06-11T23:49:00Z,0.0,0.64,0.64
2025-06-11T23:50:00Z,0.0,0.78,0.78
2025-06-11T23:51:00Z,0.0,0.56,0.56
2025-06-11T23:52:00Z,0.0,0.97,0.97
2025-06-11T23:53:00Z,0.0,0.66,0.66
2025-06-11T23:54:00Z,0.0,0.34,0.34
2025-06-11T23:55:00Z,0.0,0.37,0.37
2025-06-11T23:56:00Z,0.0,1.06,1.06
2025-06-11T23:57:00Z,0.0,0.58,0.58
2025-06-11T23:58:00Z,0.0,0.93,0.93
2025-06-11T23:59:00Z,0.0,0.94,0.94
2025-06-12T00:00:00Z,0.0,0.37,0.37
2025-06-12T00:01:00Z,0.0,0.58,0.58
2025-06-12T00:02:00Z,0.0,1.04,1.04
2025-06-12T00:03:00Z,0.0,0.76,0.76
2025-06-12T00:04:00Z,0.0,1.0,1.0
2025-06-12T00:05:00Z,0.0,0.32,0.32
2025-06-12T00:06:00Z,0.0,0.88,0.88
2025-06-12T00:07:00Z,0.0,1.3,1.3
2025-06-12T00:08:00Z,0.0,0.83,0.83
2025-06-12T00:09:00Z,0.0,0.65,0.65
2025-06-12T00:10:00Z,0.0,1.99,1.99
2025-06-12T00:11:00Z,0.0,0.85,0.85
2025-06-12T00:12:00Z,0.0,0.83,0.83
2025-06-12T00:13:00Z,0.0,1.2,1.2
2025-06-12T00:14:00Z,0.0,0.95,0.95
2025-06-12T00:15:00Z,0.0,0.84,0.84
2025-06-12T00:16:00Z,0.0,1.33,1.33
2025-06-12T00:17:00Z,0.0,0.95,0.95
2025-06-12T00:18:00Z,0.0,1.3899,1.3899
2025-06-12T00:19:00Z,0.0,0.99,0.99
2025-06-12T00:20:00Z,0.0,0.6899,0.6899
2025-06-12T00:21:00Z,0.0,1.16,1.16
2025-06-12T00:22:00Z,0.0,1.26,1.26
2025-06-12T00:23:00Z,0.0,0.76,0.76
2025-06-12T00:24:00Z,0.0,1.3799,1.3799
2025-06-12T00:25:00Z,0.0,0.91,0.91
2025-06-12T00:26:00Z,0.0,0.73,0.73
2025-06-12T00:27:00Z,0.0,1.71,1.71
2025-06-12T00:28:00Z,0.0,0.73,0.73
2025-06-12T00:29:00Z,0.0,0.79,0.79
2025-06-12T00:30:00Z,0.0,1.03,1.03
2025-06-12T00:31:00Z,0.0,1.11,1.11
2025-06-12T00:32:00Z,0.0,1.92,1.92
2025-06-12T00:33:00Z,0.0,0.95,0.95
2025-06-12T00:34:00Z,0.0,0.84,0.84
2025-06-12T00:35:00Z,0.0,1.31,1.31
2025-06-12T00:36:00Z,0.0,0.97,0.97
2025-06-12T00:37:00Z,0.0,1.27,1.27
2025-06-12T00:38:00Z,0.0,0.74,0.74
2025-06-12T00:39:00Z,0.0,1.65,1.65
2025-06-12T00:40:00Z,0.0,0.67,0.67
