timestamp,steps per minute
2025-07-31T00:49:54Z,190
2025-07-31T00:49:55Z,190
2025-07-31T00:49:56Z,189
2025-07-31T00:49:57Z,186
2025-07-31T00:49:58Z,187
2025-07-31T00:49:59Z,187
2025-07-31T00:50:00Z,188
2025-07-31T00:50:01Z,189
2025-07-31T00:50:02Z,188
2025-07-31T00:50:03Z,188
2025-07-31T00:50:04Z,189
2025-07-31T00:50:05Z,191
2025-07-31T00:50:06Z,191
2025-07-31T00:50:07Z,191
2025-07-31T00:50:08Z,191
2025-07-31T00:50:09Z,192
2025-07-31T00:50:10Z,190
2025-07-31T00:50:11Z,186
2025-07-31T00:50:12Z,186
2025-07-31T00:50:13Z,183
2025-07-31T00:50:14Z,185
2025-07-31T00:50:15Z,185
2025-07-31T00:50:16Z,186
2025-07-31T00:50:17Z,186
2025-07-31T00:50:18Z,182
2025-07-31T00:50:19Z,179
2025-07-31T00:50:20Z,182
2025-07-31T00:50:21Z,187
2025-07-31T00:50:22Z,189
2025-07-31T00:50:23Z,191
2025-07-31T00:50:24Z,192
2025-07-31T00:50:25Z,192
2025-07-31T00:50:26Z,191
2025-07-31T00:50:27Z,191
2025-07-31T00:50:28Z,191
2025-07-31T00:50:29Z,191
2025-07-31T00:50:30Z,190
2025-07-31T00:50:31Z,191
2025-07-31T00:50:32Z,193
2025-07-31T00:50:33Z,191
2025-07-31T00:50:34Z,190
2025-07-31T00:50:35Z,192
2025-07-31T00:50:36Z,191
2025-07-31T00:50:37Z,190
2025-07-31T00:50:38Z,191
2025-07-31T00:50:39Z,190
2025-07-31T00:50:40Z,190
2025-07-31T00:50:41Z,190
2025-07-31T00:50:42Z,192
2025-07-31T00:50:43Z,192
2025-07-31T00:50:44Z,194
2025-07-31T00:50:45Z,193
2025-07-31T00:50:46Z,192
2025-07-31T00:50:47Z,192
2025-07-31T00:50:48Z,192
2025-07-31T00:50:49Z,191
2025-07-31T00:50:50Z,191
2025-07-31T00:50:51Z,192
2025-07-31T00:50:52Z,190
2025-07-31T00:50:53Z,190
2025-07-31T00:50:54Z,191
2025-07-31T00:50:55Z,191
2025-07-31T00:50:56Z,185
2025-07-31T00:50:57Z,172
2025-07-31T00:50:58Z,163
2025-07-31T00:50:59Z,158
2025-07-31T00:51:00Z,154
2025-07-31T00:51:01Z,146
2025-07-31T00:51:02Z,136
2025-07-31T00:51:03Z,131
2025-07-31T00:51:04Z,128
2025-07-31T00:51:05Z,124
2025-07-31T00:51:06Z,122
2025-07-31T00:51:07Z,122
2025-07-31T00:51:08Z,123
2025-07-31T00:51:09Z,122
2025-07-31T00:51:10Z,120
2025-07-31T00:51:11Z,120
2025-07-31T00:51:12Z,118
2025-07-31T00:51:13Z,118
2025-07-31T00:51:14Z,115
2025-07-31T00:51:15Z,112
2025-07-31T00:51:16Z,110
2025-07-31T00:51:17Z,107
2025-07-31T00:51:18Z,105
2025-07-31T00:51:19Z,103
2025-07-31T00:51:20Z,101
2025-07-31T00:51:22Z,0
2025-07-31T00:54:58Z,125
2025-07-31T00:54:59Z,125
2025-07-31T00:55:00Z,124
2025-07-31T00:55:01Z,120
2025-07-31T00:55:02Z,115
2025-07-31T00:55:03Z,111
2025-07-31T00:55:04Z,107
2025-07-31T00:55:05Z,107
2025-07-31T00:55:06Z,105
2025-07-31T00:55:07Z,104
2025-07-31T00:55:09Z,102
2025-07-31T00:55:10Z,100
2025-07-31T00:55:13Z,96
2025-07-31T00:55:14Z,97
2025-07-31T00:55:15Z,98
2025-07-31T00:55:16Z,99
2025-07-31T00:55:17Z,99
2025-07-31T00:55:18Z,100
2025-07-31T00:55:20Z,100
2025-07-31T00:55:21Z,100
2025-07-31T00:55:22Z,0
2025-07-31T00:55:27Z,97
2025-07-31T00:55:30Z,95
2025-07-31T00:55:32Z,0
2025-07-31T00:55:37Z,90
2025-07-31T00:55:38Z,90
2025-07-31T00:55:39Z,90
2025-07-31T00:55:40Z,91
2025-07-31T00:55:41Z,93
2025-07-31T00:55:42Z,95
2025-07-31T00:55:43Z,96
2025-07-31T00:55:44Z,98
2025-07-31T00:55:45Z,99
2025-07-31T00:55:46Z,99
2025-07-31T00:55:47Z,98
2025-07-31T00:55:48Z,98
2025-07-31T00:55:49Z,99
2025-07-31T00:55:50Z,99
2025-07-31T00:55:52Z,101
2025-07-31T00:55:53Z,99
2025-07-31T00:55:54Z,98
2025-07-31T00:55:55Z,98
2025-07-31T00:55:56Z,98
2025-07-31T00:55:58Z,0
2025-07-31T23:45:57Z,106
2025-07-31T23:45:58Z,107
2025-07-31T23:45:59Z,107
2025-07-31T23:46:00Z,108
2025-07-31T23:46:01Z,109
2025-07-31T23:46:02Z,110
2025-07-31T23:46:03Z,111
2025-07-31T23:46:04Z,112
2025-07-31T23:46:05Z,113
2025-07-31T23:46:06Z,113
2025-07-31T23:46:07Z,114
2025-07-31T23:46:08Z,115
2025-07-31T23:46:09Z,115
2025-07-31T23:46:10Z,116
2025-07-31T23:46:11Z,116
2025-07-31T23:46:12Z,116
2025-07-31T23:46:13Z,116
2025-07-31T23:46:14Z,115
2025-07-31T23:46:15Z,115
2025-07-31T23:46:16Z,115
2025-07-31T23:46:17Z,115
2025-07-31T23:46:18Z,113
2025-07-31T23:46:19Z,112
2025-07-31T23:46:20Z,110
2025-07-31T23:46:21Z,112
2025-07-31T23:46:22Z,116
2025-07-31T23:46:23Z,127
2025-07-31T23:46:24Z,146
2025-07-31T23:46:25Z,162
2025-07-31T23:46:26Z,174
2025-07-31T23:46:27Z,180
2025-07-31T23:46:28Z,183
2025-07-31T23:46:29Z,185
2025-07-31T23:46:30Z,187
2025-07-31T23:46:31Z,187
2025-07-31T23:46:32Z,187
2025-07-31T23:46:33Z,188
2025-07-31T23:46:34Z,187
