timestamp,light,moderate,very
2024-07-30T11:52:00Z,0,0,1
2024-07-30T11:53:00Z,0,0,1
2024-07-30T11:54:00Z,0,0,1
2024-07-30T11:55:00Z,0,0,1
2024-07-30T11:56:00Z,0,0,1
2024-07-30T11:57:00Z,0,0,1
2024-07-30T11:58:00Z,0,0,1
2024-07-30T11:59:00Z,0,0,1
2024-07-30T12:00:00Z,0,0,1
2024-07-30T12:01:00Z,0,0,1
2024-07-30T12:02:00Z,0,0,1
2024-07-30T12:03:00Z,0,0,1
2024-07-30T12:04:00Z,0,0,1
2024-07-30T12:05:00Z,0,0,1
2024-07-30T12:06:00Z,0,1,0
2024-07-30T12:07:00Z,0,1,0
2024-07-30T12:08:00Z,0,1,0
2024-07-30T12:09:00Z,1,0,0
