name,objectives,schedule,status,update_time
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(16, 45)",2024-11-24 00:00:00 - 2024-11-25 00:00:00,ENABLED,2024-11-24 13:32:31+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(16, 52)",2025-07-12 00:00:00 - 2025-07-13 00:00:00,ENABLED,2025-07-12 01:51:07+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(173, 213)",2025-07-29 00:00:00 - 2025-07-30 00:00:00,ENABLED,2025-07-28 23:08:37+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(182, 244)",2025-07-30 00:00:00 - 2025-07-31 00:00:00,ENABLED,2025-07-29 22:45:58+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(197, 244)",2025-07-27 00:00:00 - 2025-07-28 00:00:00,ENABLED,2025-07-27 01:01:34+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(2, 34)",2024-09-30 00:00:00 - 2024-10-01 00:00:00,ENABLED,2024-09-30 11:07:05+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(2, 34)",2024-10-01 00:00:00 - 2024-10-02 00:00:00,ENABLED,2024-10-01 09:30:22+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(2, 34)",2024-10-02 00:00:00 - 2024-10-03 00:00:00,ENABLED,2024-10-03 09:43:45+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(2, 34)",2024-10-03 00:00:00 - 2024-10-04 00:00:00,ENABLED,2024-10-03 09:49:29+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(2, 34)",2024-10-04 00:00:00 - 2024-10-05 00:00:00,ENABLED,2024-10-04 09:52:38+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(20, 47)",2024-09-27 00:00:00 - 2024-09-28 00:00:00,ENABLED,2024-09-27 09:53:41+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(200, 244)",2025-07-28 00:00:00 - 2025-07-29 00:00:00,ENABLED,2025-07-27 23:12:13+0000
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(25, 51)",2025-06-13 00:00:00 - 2025-06-14 00:00:00,ENABLED,2025-06-13 00:13:31+0000
